City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Aklavik,68.2191,-135.0107,-29.0,76,99,3.6,CA,1615115302
Norman Wells,65.282,-126.8329,-19.0,84,40,2.06,CA,1615115302
Grand Island,40.925,-98.342,6.67,70,1,7.72,US,1615115302
Ponta Delgada,37.7333,-25.6667,15.0,100,20,2.06,PT,1615115303
Touros,-5.1989,-35.4608,25.0,88,40,2.06,BR,1615115303
Maceió,-9.6658,-35.7353,27.0,78,20,2.57,BR,1615115032
Chicama,-7.8447,-79.1469,23.02,72,63,1.39,PE,1615115303
Baracoa,20.3467,-74.4958,22.03,64,10,2.03,CU,1615115303
Anito,12.4497,125.2886,25.46,84,28,4.62,PH,1615115304
Tucuruí,-3.7661,-49.6725,23.55,93,100,0.62,BR,1615115304
Thaba-Tseka,-29.522,28.6084,22.36,20,0,8.41,LS,1615115304
Bambous Virieux,-20.3428,57.7575,28.0,89,75,8.75,MU,1615115304
Barra de Tecoanapa,16.5167,-98.75,22.08,66,0,1.16,MX,1615115304
Bacolod City,10.6667,122.95,25.92,77,60,5.61,PH,1615115305
Piła,53.1515,16.7378,3.33,73,95,4.02,PL,1615115305
Qaqortoq,60.7167,-46.0333,2.0,75,75,1.54,GL,1615115305
Worthing,50.8145,-0.3713,7.78,60,20,4.63,GB,1615115171
Saint-Gilles,43.6766,4.4302,13.0,66,90,3.09,FR,1615115306
Tuatapere,-46.1333,167.6833,10.56,75,94,4.02,NZ,1615115306
Souillac,-20.5167,57.5167,28.0,89,75,8.75,MU,1615115306
Atyrau,47.1167,51.8833,0.0,64,75,11.0,KZ,1615115306
Pevek,69.7008,170.3133,-32.66,79,36,4.16,RU,1615115307
Deep River,46.1001,-77.4995,-19.0,78,1,2.0,CA,1615115307
Elliot,-31.3333,27.85,25.45,24,6,2.52,ZA,1615115307
Berezovyy,51.6667,135.7,-16.6,85,6,2.04,RU,1615115308
Chokwé,-24.5333,32.9833,31.93,52,65,1.29,MZ,1615115308
Mwinilunga,-11.7358,24.4293,23.83,74,60,1.51,ZM,1615115308
Sitka,57.0531,-135.33,5.0,70,90,1.54,US,1615115309
Torbay,47.6666,-52.7314,-1.67,68,75,8.75,CA,1615115309
Lavrentiya,65.5833,-171.0,-13.25,94,100,3.4,RU,1615115309
Qurayyat,31.3318,37.3428,22.0,16,0,2.49,SA,1615115310
Porto Belo,-27.1578,-48.5531,23.89,83,0,3.09,BR,1615115226
Korsakov,46.6328,142.7813,-10.0,85,20,2.0,RU,1615115310
Carnarvon,-24.8667,113.6333,27.0,94,0,7.2,AU,1615115310
Bundaberg,-24.85,152.35,25.56,65,35,5.66,AU,1615115311
São Filipe,14.8961,-24.4956,21.84,73,4,6.71,CV,1615115311
Arni,12.6667,79.2833,35.65,21,0,4.01,IN,1615115311
Bar Harbor,44.3876,-68.2039,-6.67,67,1,2.57,US,1615115311
Stromness,58.965,-3.296,7.0,87,75,3.6,GB,1615115311
Nanortalik,60.1432,-45.2371,-0.07,98,100,1.99,GL,1615115312
Promyshlennaya,54.9159,85.6385,-6.0,53,0,5.0,RU,1615115312
Praia da Vitória,38.7333,-27.0667,16.11,94,40,7.36,PT,1615115312
Bridlington,54.0831,-0.1919,4.44,78,15,0.45,GB,1615115312
Toora-Khem,52.4675,96.11,-3.04,95,100,0.43,RU,1615115312
Narsaq,60.9167,-46.05,2.0,75,75,1.54,GL,1615115313
Tvøroyri,61.5556,-6.8111,5.0,100,75,2.06,FO,1615115313
Pīpri,19.8,75.5333,35.88,10,0,2.85,IN,1615115313
Maniitsoq,65.4167,-52.9,-3.11,93,100,4.43,GL,1615115313
Sharjah city,25.3573,55.4033,25.0,50,0,6.17,AE,1615115010
Susanino,58.1461,41.5872,-5.88,97,100,6.16,RU,1615115314
Pidhorodna,48.107,30.8895,1.76,82,17,6.85,UA,1615115314
Codrington,-38.2667,141.9667,16.02,83,99,3.69,AU,1615115314
Puerto Madero,14.7208,-92.4215,24.66,69,0,2.27,MX,1615115314
Sabaudia,41.3003,13.0282,15.56,75,93,0.89,IT,1615115315
Marawi,7.9986,124.2928,27.22,84,99,3.58,PH,1615115315
Kumul,42.8,93.45,11.22,39,0,1.11,CN,1615115315
Boguchany,58.3814,97.4531,-4.88,93,63,4.39,RU,1615115315
Skorodnoye,51.071,37.2276,1.0,55,40,8.0,RU,1615115315
Whitianga,-36.8333,175.7,17.78,75,1,4.02,NZ,1615115316
Cortland,42.6001,-76.083,-8.89,92,90,1.61,US,1615115316
Portland,45.5234,-122.6762,7.22,74,99,1.79,US,1615115316
Makubetsu,45.3714,141.8211,-4.11,90,94,8.36,JP,1615115317
Bireun,5.203,96.7009,27.61,76,99,1.86,ID,1615115145
Manbij,36.5281,37.9549,16.0,41,75,1.03,SY,1615115317
Laguna,38.421,-121.4238,5.0,87,1,0.75,US,1615115317
Srednekolymsk,67.45,153.6833,-24.8,88,100,6.13,RU,1615115318
Pathein,16.7833,94.7333,29.77,40,33,6.64,MM,1615115290
Chapais,49.7834,-74.8492,-21.0,84,40,2.06,CA,1615115319
Pasni,25.2631,63.471,25.59,64,0,8.54,PK,1615115319
San Juan de los Morros,9.9115,-67.3538,21.34,86,33,1.4,VE,1615115319
Utevka,52.9035,50.9495,-7.67,96,70,4.0,RU,1615115320
Ilulissat,69.2167,-51.1,-6.0,79,90,4.63,GL,1615115320
Almaznyy,48.0448,40.045,1.0,55,20,8.0,RU,1615115320
Springdale,36.1867,-94.1288,3.0,70,1,2.02,US,1615115320
Luwuk,-0.9516,122.7875,26.2,72,66,0.1,ID,1615115321
Husavik,66.0449,-17.3389,0.0,80,0,4.02,IS,1615115321
Shingū,33.7333,135.9833,12.0,76,75,3.09,JP,1615115321
Coquimbo,-29.9533,-71.3436,15.0,88,20,1.54,CL,1615115322
Port Lincoln,-34.7333,135.8667,17.05,81,39,6.81,AU,1615115322
Tagusao,9.1924,117.8141,27.1,78,53,5.49,PH,1615115322
Alofi,-19.0595,-169.9187,26.0,94,100,2.06,NU,1615115322
Aromashevo,56.8602,68.6375,-8.03,94,99,3.16,RU,1615115323
Katsuura,35.1333,140.3,8.33,59,89,4.28,JP,1615115323
Arraial do Cabo,-22.9661,-42.0278,24.0,88,75,2.06,BR,1615115323
Mnogovershinnyy,53.9353,139.9242,-21.43,87,0,2.74,RU,1615115324
Zhuhai,22.2769,113.5678,21.67,88,75,1.54,CN,1615115324
Ouésso,1.6136,16.0517,37.17,27,58,2.09,CG,1615115324
Bathsheba,13.2167,-59.5167,25.0,69,40,8.75,BB,1615115324
Batagay,67.6333,134.6333,-28.64,85,97,1.46,RU,1615115325
Isla Vista,34.4133,-119.861,9.44,81,1,1.54,US,1615115325
Kloulklubed,7.0419,134.2556,27.0,83,90,4.12,PW,1615115325
Palmer,42.1584,-72.3287,-7.78,67,1,1.54,US,1615115325
Manali,13.1667,80.2667,31.0,51,20,4.12,IN,1615115326
Takoradze,4.8845,-1.7554,30.4,67,99,3.88,GH,1615115326
Quatre Cocos,-20.2078,57.7625,28.0,89,75,8.75,MU,1615115326
Yerbogachën,61.2767,108.0108,-5.69,97,100,3.17,RU,1615115326
Abu Kamal,34.4506,40.9171,20.96,23,60,1.13,SY,1615115327
Kerema,-7.9631,145.7785,26.3,77,100,1.35,PG,1615115327
Padang,-0.9492,100.3543,29.0,70,40,1.54,ID,1615115327
Bazarnye Mataki,54.8833,49.9333,-8.46,95,72,3.9,RU,1615115328
Guerrero Negro,27.9769,-114.0611,13.55,87,1,6.19,MX,1615115328
San Francisco Ixhuatan,16.3569,-94.4825,22.8,67,0,5.29,MX,1615115328
Oranjemund,-28.55,16.4333,21.8,56,0,6.48,NA,1615115328
Rantepao,-2.9701,119.8978,20.42,90,100,0.55,ID,1615115093
Shellbrook,53.2168,-106.4011,3.0,70,90,4.63,CA,1615115317
Abong Mbang,3.9833,13.1833,35.55,23,100,1.66,CM,1615115329
Dalhousie,32.5333,75.9833,16.48,43,36,1.43,IN,1615115329
Puerto Escondido,15.85,-97.0667,23.63,61,0,2.0,MX,1615115329
Rongcheng,30.634,117.8517,6.58,86,98,2.0,CN,1615115329
Ossora,59.2353,163.0719,-29.18,75,72,4.39,RU,1615115330
Chui,-33.6971,-53.4616,19.71,77,13,0.96,UY,1615115330
Stornoway,58.2093,-6.3865,8.0,93,90,5.14,GB,1615115330
Port Blair,11.6667,92.75,28.69,64,0,4.91,IN,1615115330
Varberg,57.1056,12.2508,5.0,42,25,8.75,SE,1615115330
Līvāni,56.3543,26.1758,-0.54,82,100,8.54,LV,1615115330
Duki,30.1541,68.5728,25.9,14,0,7.19,PK,1615115331
Diego de Almagro,-26.3667,-70.05,14.11,63,0,0.27,CL,1615115331
Buraidah,26.326,43.975,23.0,33,0,2.06,SA,1615115331
Whangarei,-35.7317,174.3239,15.0,80,10,0.89,NZ,1615115332
Lata,40.1629,-8.3327,15.56,82,75,1.03,PT,1615115332
Campestre,-21.7111,-46.2464,18.77,91,98,0.92,BR,1615115332
Lorengau,-2.0226,147.2712,28.0,73,100,1.43,PG,1615115333
Jūnāgarh,19.8667,82.9333,36.7,8,39,2.76,IN,1615115174
Guadalupe Victoria,32.2869,-115.105,13.0,44,1,3.07,MX,1615115333
Hervey Bay,-25.2986,152.8535,25.56,65,13,5.66,AU,1615115333
Sonoita,31.85,-112.8333,12.78,31,0,0.63,MX,1615115334
Neuquén,-38.9516,-68.0591,17.0,63,0,2.06,AR,1615115334
Gizo Government Station,-8.103,156.8419,28.1,73,100,2.56,SB,1615115334
Bambanglipuro,-7.95,110.2833,26.75,78,59,2.34,ID,1615115334
Kuytun,54.3419,101.5036,-4.9,97,87,1.74,RU,1615115334
Laas,46.6166,10.7002,9.44,75,0,3.6,IT,1615115335
Newton,42.337,-71.2092,-6.0,57,1,2.06,US,1615115335
Saskylakh,71.9167,114.0833,-30.06,86,97,1.87,RU,1615115335
Fortuna,40.5982,-124.1573,7.78,81,90,4.12,US,1615115335
Romny,50.751,33.4747,-0.15,96,100,10.37,UA,1615115335
Searcy,35.2506,-91.7363,-1.0,100,1,1.32,US,1615115336
Yelan',50.949,43.7378,-2.7,93,47,6.42,RU,1615115336
Paracuru,-3.41,-39.0306,25.56,82,70,4.7,BR,1615115336
Sakakah,29.9697,40.2064,24.0,13,0,2.06,SA,1615115337
Dongsheng,39.8161,109.9776,5.73,62,70,4.79,CN,1615115337
Mizdah,31.4451,12.9801,20.5,33,0,6.54,LY,1615115337
Olafsvik,64.8945,-23.7142,4.27,86,31,3.52,IS,1615115338
Turan,16.0678,108.2208,26.0,83,20,3.09,VN,1615115338
Corn Island,12.1694,-83.0418,25.97,65,7,5.05,NI,1615115338
San Patricio,28.017,-97.5169,12.22,93,40,4.12,US,1615115338
Mitsamiouli,-11.3847,43.2844,27.86,74,91,4.18,KM,1615115339
Manokwari,-0.8667,134.0833,25.67,78,100,2.77,ID,1615115339
Storsteinnes,69.2408,19.2344,-0.56,86,75,5.14,NO,1615115339
Kununurra,-15.7667,128.7333,29.0,89,88,7.25,AU,1615115328
Nikolayevsk-on-Amur,53.1406,140.73,-19.03,88,17,2.13,RU,1615115339
Lompoc,34.6391,-120.4579,8.0,93,1,1.54,US,1615115340
Paungde,18.4833,95.5,36.39,9,100,0.14,MM,1615115340
Marabu,4.4148,114.0089,29.0,79,20,3.6,MY,1615115340
Santa Cruz de la Sierra,-17.8,-63.1667,22.0,88,20,1.03,BO,1615115341
Sarangani,5.4033,125.4636,27.9,77,79,9.41,PH,1615115341
Sawākin,19.1059,37.3321,25.64,71,73,5.43,SD,1615115341
Porto-Novo,6.4965,2.6036,32.0,74,40,5.66,BJ,1615115341
Pangnirtung,66.1451,-65.7125,-17.51,84,100,0.63,CA,1615115342
Dunedin,-45.8742,170.5036,8.89,77,62,2.68,NZ,1615115342
Iqaluit,63.7506,-68.5145,-22.78,70,75,8.23,CA,1615115342
Paragominas,-2.9667,-47.4833,24.42,92,96,0.63,BR,1615115342
Ambanja,-13.6833,48.45,26.79,87,96,2.84,MG,1615115343
Qarqīn,37.4185,66.0436,15.33,36,1,7.68,AF,1615115343
Nabire,-3.3667,135.4833,24.45,85,100,0.95,ID,1615115343
Kangaatsiaq,68.3065,-53.4641,-10.18,96,100,4.87,GL,1615115344
Broome,42.2506,-75.833,-10.0,95,51,0.89,US,1615115344
Vila,42.0304,-8.1588,15.0,76,0,2.06,PT,1615115344
Korla,41.7597,86.1469,11.73,40,100,1.69,CN,1615115345
Bud,39.447,-86.1758,-1.11,68,1,2.01,US,1615115345
Bitung,1.4451,125.1824,27.0,78,40,1.03,ID,1615115147
Kindu,-2.95,25.95,26.59,67,100,2.85,CD,1615115345
Cascais,38.6979,-9.4215,16.67,72,40,6.17,PT,1615115346
Polis,35.0367,32.4264,19.0,63,40,8.23,CY,1615115346
Mozhaysk,55.5019,36.0272,-1.61,99,100,5.42,RU,1615115346
Pozo Colorado,-23.4923,-58.7972,22.05,62,0,1.36,PY,1615115347
Pecos,31.4229,-103.4932,4.0,70,1,6.51,US,1615115347
Pacific Grove,36.6177,-121.9166,7.0,76,1,3.09,US,1615115171
Bubaque,11.2833,-15.8333,24.25,62,42,2.24,GW,1615115347
Todos Santos,23.45,-110.2167,16.67,87,9,0.89,MX,1615115347
Avera,33.194,-82.5271,0.0,84,1,4.03,US,1615115347
Erzin,36.9559,36.2,16.11,73,50,2.68,TR,1615115348
Inírida,3.8653,-67.9239,22.88,98,100,0.81,CO,1615115348
Chara,56.9064,118.2631,-12.89,83,80,1.04,RU,1615115348
Muisne,0.6,-80.0333,24.9,88,96,2.09,EC,1615115348
Skagen,57.7209,10.5839,4.44,46,0,10.28,DK,1615115348
Lac du Bonnet,50.2536,-96.0612,2.78,99,97,4.02,CA,1615115349
Salalah,17.0151,54.0924,29.0,65,20,3.09,OM,1615115071
Mareeba,-17.0,145.4333,27.0,78,90,2.06,AU,1615115349
Port Shepstone,-30.7414,30.455,24.33,74,53,3.8,ZA,1615115350
Belchertown,42.277,-72.4009,-7.22,67,1,1.54,US,1615115337
